,股票日期,更新時間點,股票類別,股票名稱,股票代號,開盤價,漲停價,跌停價,當日最高,當日最低,成交價,成交量
126,20210531,13:30:00,電機機械,艾姆勒,2241,52.5000,57.0000,46.7500,53.1000,51.7000,52.8000,2241
127,20210531,13:30:00,電機機械,大同,2371,24.9500,27.3500,22.4500,25.0000,24.6000,24.8500,2371
128,20210531,13:33:00,電機機械,大量,3167,62.8000,69.6000,57.0000,63.6000,62.8000,63.4000,3167
129,20210531,13:30:00,電機機械,東台,4526,15.4500,16.9500,13.9500,15.6000,15.3000,15.4000,4526
130,20210531,13:30:00,電機機械,瑞智,4532,20.3000,22.3500,18.3500,20.5000,20.2000,20.3500,4532
131,20210531,13:30:00,電機機械,全球傳動,4540,51.3000,56.2000,46.0000,52.1000,50.3000,50.3000,4540
132,20210531,13:30:00,電機機械,力達-KY,4552,30.9000,34.1000,27.9000,31.0000,30.3000,30.9500,4552
133,20210531,13:30:00,電機機械,氣立,4555,54.5000,59.4000,48.6000,55.5000,54.0000,54.4000,4555
134,20210531,13:30:00,電機機械,強信-KY,4560,42.0000,46.3000,37.9000,42.0500,41.6000,41.7000,4560
135,20210531,13:30:00,電機機械,穎漢,4562,21.5500,23.7000,19.4000,22.8000,20.8000,21.4500,4562
136,20210531,13:30:00,電機機械,元翎,4564,42.5000,46.8000,38.3000,43.3000,41.4000,41.9500,4564
137,20210531,13:30:00,電機機械,時碩工業,4566,47.7500,52.5000,43.0000,48.3500,47.5000,-,4566
138,20210531,13:30:00,電機機械,鈞興-KY,4571,141.0000,149.5000,122.5000,145.5000,139.5000,142.0000,4571
139,20210531,13:30:00,電機機械,駐龍,4572,97.6000,106.0000,86.9000,98.0000,95.3000,-,4572
140,20210531,13:30:00,電機機械,大銀微系統,4576,129.0000,140.5000,115.5000,129.0000,126.0000,126.5000,4576
141,20210531,13:30:00,電機機械,豐祥-KY,5288,140.0000,152.0000,125.0000,140.0000,138.0000,138.0000,5288
142,20210531,13:30:00,電機機械,寶一,8222,13.8000,14.9500,12.2500,13.8000,13.0000,13.2000,8222
143,20210531,13:30:00,電機機械,羅昇,8374,25.8000,28.1500,23.0500,25.9500,25.6500,25.8000,8374
144,20210531,13:30:00,電機機械,高力,8996,45.6500,49.6000,40.6000,45.6500,44.6500,44.7500,8996
145,20210531,13:30:00,電器電纜,華電,1603,30.3000,33.0000,27.0000,31.7000,30.2500,30.8000,1603
146,20210531,13:30:00,電器電纜,聲寶,1604,29.7000,32.4500,26.5500,29.7500,29.5000,29.5500,1604
147,20210531,13:30:00,電器電纜,華新,1605,26.0000,27.7500,22.7500,27.6000,25.8500,26.4500,1605
148,20210531,13:30:00,電器電纜,華榮,1608,27.9500,29.4000,24.1000,29.4000,27.1000,28.0500,1608
